user_id,experiment_name,experiment_group
1,restriction_test,B
2,restriction_test,A
3,restriction_test,B
4,restriction_test,A
5,restriction_test,B
6,restriction_test,A
7,restriction_test,B
8,restriction_test,B
9,restriction_test,B
10,restriction_test,B
11,restriction_test,A
12,restriction_test,B
13,restriction_test,A
14,restriction_test,A
15,restriction_test,B
16,restriction_test,B
17,restriction_test,A
18,restriction_test,A
19,restriction_test,A
20,restriction_test,A
21,restriction_test,B
22,restriction_test,A
23,restriction_test,B
24,restriction_test,A
25,restriction_test,A
26,restriction_test,A
27,restriction_test,B
28,restriction_test,B
29,restriction_test,A
30,restriction_test,A
31,restriction_test,A
32,restriction_test,B
33,restriction_test,A
34,restriction_test,B
35,restriction_test,B
36,restriction_test,A
37,restriction_test,A
38,restriction_test,B
39,restriction_test,B
40,restriction_test,A
41,restriction_test,B
42,restriction_test,A
43,restriction_test,A
44,restriction_test,B
45,restriction_test,A
46,restriction_test,B
47,restriction_test,B
48,restriction_test,A
49,restriction_test,A
50,restriction_test,B
51,restriction_test,B
52,restriction_test,A
53,restriction_test,B
54,restriction_test,B
55,restriction_test,A
56,restriction_test,B
57,restriction_test,A
58,restriction_test,A
59,restriction_test,B
60,restriction_test,A
61,restriction_test,A
62,restriction_test,B
63,restriction_test,A
64,restriction_test,B
65,restriction_test,B
66,restriction_test,A
67,restriction_test,B
68,restriction_test,B
69,restriction_test,B
70,restriction_test,A
71,restriction_test,A
72,restriction_test,A
73,restriction_test,B
74,restriction_test,B
75,restriction_test,B
76,restriction_test,A
77,restriction_test,A
78,restriction_test,B
79,restriction_test,B
80,restriction_test,B
81,restriction_test,A
82,restriction_test,A
83,restriction_test,A
84,restriction_test,B
85,restriction_test,A
86,restriction_test,B
87,restriction_test,A
88,restriction_test,A
89,restriction_test,A
90,restriction_test,A
91,restriction_test,B
92,restriction_test,B
93,restriction_test,B
94,restriction_test,A
95,restriction_test,B
96,restriction_test,A
97,restriction_test,B
98,restriction_test,B
99,restriction_test,A
100,restriction_test,B
101,restriction_test,A
102,restriction_test,B
103,restriction_test,A
104,restriction_test,A
105,restriction_test,B
106,restriction_test,B
107,restriction_test,A
108,restriction_test,A
109,restriction_test,A
110,restriction_test,B
111,restriction_test,B
112,restriction_test,B
113,restriction_test,A
114,restriction_test,A
115,restriction_test,A
116,restriction_test,B
117,restriction_test,B
118,restriction_test,A
119,restriction_test,A
120,restriction_test,A
121,restriction_test,B
122,restriction_test,B
123,restriction_test,B
124,restriction_test,B
125,restriction_test,B
126,restriction_test,A
127,restriction_test,A
128,restriction_test,A
129,restriction_test,B
130,restriction_test,B
131,restriction_test,B
132,restriction_test,B
133,restriction_test,A
134,restriction_test,B
135,restriction_test,A
136,restriction_test,B
137,restriction_test,A
138,restriction_test,B
139,restriction_test,A
140,restriction_test,B
141,restriction_test,A
142,restriction_test,A
143,restriction_test,A
144,restriction_test,B
145,restriction_test,A
146,restriction_test,A
147,restriction_test,A
148,restriction_test,B
149,restriction_test,B
150,restriction_test,B
151,restriction_test,B
152,restriction_test,B
153,restriction_test,B
154,restriction_test,A
155,restriction_test,B
156,restriction_test,B
157,restriction_test,B
158,restriction_test,B
159,restriction_test,B
160,restriction_test,A
161,restriction_test,B
162,restriction_test,A
163,restriction_test,B
164,restriction_test,A
165,restriction_test,B
166,restriction_test,B
167,restriction_test,B
168,restriction_test,B
169,restriction_test,A
170,restriction_test,A
171,restriction_test,A
172,restriction_test,B
173,restriction_test,B
174,restriction_test,B
175,restriction_test,A
176,restriction_test,B
177,restriction_test,A
178,restriction_test,B
179,restriction_test,B
180,restriction_test,B
181,restriction_test,A
182,restriction_test,B
183,restriction_test,A
184,restriction_test,A
185,restriction_test,B
186,restriction_test,B
187,restriction_test,A
188,restriction_test,A
189,restriction_test,B
190,restriction_test,B
191,restriction_test,A
192,restriction_test,A
193,restriction_test,A
194,restriction_test,B
195,restriction_test,B
196,restriction_test,B
197,restriction_test,B
198,restriction_test,A
199,restriction_test,A
200,restriction_test,B
201,restriction_test,A
202,restriction_test,A
203,restriction_test,A
204,restriction_test,A
205,restriction_test,B
206,restriction_test,B
207,restriction_test,B
208,restriction_test,A
209,restriction_test,A
210,restriction_test,A
211,restriction_test,B
212,restriction_test,A
213,restriction_test,A
214,restriction_test,A
215,restriction_test,A
216,restriction_test,A
217,restriction_test,A
218,restriction_test,B
219,restriction_test,B
220,restriction_test,A
221,restriction_test,A
222,restriction_test,A
223,restriction_test,A
224,restriction_test,A
225,restriction_test,B
226,restriction_test,A
227,restriction_test,A
228,restriction_test,A
229,restriction_test,B
230,restriction_test,A
231,restriction_test,A
232,restriction_test,A
233,restriction_test,A
234,restriction_test,A
235,restriction_test,A
236,restriction_test,A
237,restriction_test,B
238,restriction_test,B
239,restriction_test,B
240,restriction_test,B
241,restriction_test,B
242,restriction_test,A
243,restriction_test,A
244,restriction_test,A
245,restriction_test,A
246,restriction_test,B
247,restriction_test,B
248,restriction_test,B
249,restriction_test,A
250,restriction_test,B
251,restriction_test,A
252,restriction_test,B
253,restriction_test,B
254,restriction_test,A
255,restriction_test,A
256,restriction_test,A
257,restriction_test,A
258,restriction_test,A
259,restriction_test,B
260,restriction_test,A
261,restriction_test,B
262,restriction_test,A
263,restriction_test,A
264,restriction_test,B
265,restriction_test,A
266,restriction_test,A
267,restriction_test,B
268,restriction_test,A
269,restriction_test,A
270,restriction_test,A
271,restriction_test,A
272,restriction_test,A
273,restriction_test,B
274,restriction_test,A
275,restriction_test,A
276,restriction_test,B
277,restriction_test,B
278,restriction_test,B
279,restriction_test,A
280,restriction_test,B
281,restriction_test,B
282,restriction_test,A
283,restriction_test,A
284,restriction_test,A
285,restriction_test,A
286,restriction_test,B
287,restriction_test,A
288,restriction_test,A
289,restriction_test,B
290,restriction_test,B
291,restriction_test,A
292,restriction_test,B
293,restriction_test,B
294,restriction_test,A
295,restriction_test,A
296,restriction_test,B
297,restriction_test,B
298,restriction_test,B
299,restriction_test,B
300,restriction_test,A
301,restriction_test,B
302,restriction_test,B
303,restriction_test,A
304,restriction_test,A
305,restriction_test,A
306,restriction_test,A
307,restriction_test,B
308,restriction_test,B
309,restriction_test,A
310,restriction_test,A
311,restriction_test,B
312,restriction_test,B
313,restriction_test,A
314,restriction_test,B
315,restriction_test,B
316,restriction_test,B
317,restriction_test,B
318,restriction_test,A
319,restriction_test,A
320,restriction_test,A
321,restriction_test,B
322,restriction_test,A
323,restriction_test,B
324,restriction_test,B
325,restriction_test,A
326,restriction_test,B
327,restriction_test,B
328,restriction_test,A
329,restriction_test,A
330,restriction_test,A
331,restriction_test,A
332,restriction_test,A
333,restriction_test,B
334,restriction_test,A
335,restriction_test,B
336,restriction_test,A
337,restriction_test,B
338,restriction_test,B
339,restriction_test,A
340,restriction_test,B
341,restriction_test,A
342,restriction_test,B
343,restriction_test,B
344,restriction_test,B
345,restriction_test,A
346,restriction_test,A
347,restriction_test,B
348,restriction_test,A
349,restriction_test,B
350,restriction_test,A
351,restriction_test,B
352,restriction_test,A
353,restriction_test,A
354,restriction_test,A
355,restriction_test,B
356,restriction_test,B
357,restriction_test,B
358,restriction_test,A
359,restriction_test,B
360,restriction_test,A
361,restriction_test,A
362,restriction_test,A
363,restriction_test,A
364,restriction_test,B
365,restriction_test,A
366,restriction_test,A
367,restriction_test,B
368,restriction_test,B
369,restriction_test,B
370,restriction_test,B
