event_id,user_id,event_time,event_type,device_type,geo_location
1,1,2025-02-08 00:00:00,signup, WEB,
2,1,2025-02-08 06:00:00,login,mobile,UK
3,1,2025-02-09 18:00:00,APPLY,,
4,1,2025-02-11 10:00:00,login,web, US
5,1,2025-02-13 02:00:00,job_view,,India 
6,1,2025-02-13 23:00:00,apply,Mobile , US
7,1,2025-02-14 04:00:00,job_view,mobile,US
8,1,2025-02-15 07:00:00,LOGIN,,UK
9,1,2025-02-16 21:00:00,login, WEB,
10,1,2025-02-18 00:00:00,job_view,,India
11,2,2025-01-11 00:00:00,SIGNUP, WEB,UK
12,2,2025-01-12 23:00:00,job_view,, US
13,2,2025-01-14 15:00:00,login,,
14,2,2025-01-15 12:00:00,LOGOUT,,
15,2,2025-01-15 14:00:00,job_view,,India
16,2,2025-01-17 06:00:00,job_view,Mobile ,India
17,2,2025-01-18 19:00:00,login, WEB,US
18,2,,job_view, WEB,US
19,2,2025-01-19 16:00:00,logout, WEB,UK
20,2,2025-01-20 08:00:00,job_view,mobile,India 
21,2,2025-01-21 06:00:00,login,,US
22,2,2025-01-22 21:00:00,login,,
23,2,2025-01-23 16:00:00,login,mobile,
24,2,2025-01-24 15:00:00,login,,US
25,3,,signup,,US
26,3,2025-03-01 08:00:00,JOB_VIEW,Mobile ,India
27,3,2025-03-02 13:00:00,job_view,Mobile ,India 
28,3,2025-03-03 20:00:00,JOB_VIEW,Mobile , US
29,3,2025-03-05 07:00:00,job_view,,
30,3,2025-03-06 12:00:00,job_view,Mobile ,UK
31,3,2025-03-07 06:00:00,LOGIN,, US
32,3,2025-03-08 08:00:00,job_view,web,US
33,3,2025-03-09 22:00:00,login, WEB,US
34,3,2025-03-11 12:00:00,login,mobile, US
35,3,2025-03-12 18:00:00,job_view,,
36,3,2025-03-13 08:00:00,job_view,mobile, US
37,3,2025-03-14 14:00:00,login, WEB,India 
38,3,2025-03-14 15:00:00,JOB_VIEW,mobile,US
39,4,2025-02-28 00:00:00,SIGNUP,Mobile ,India
40,4,2025-03-01 16:00:00,LOGIN,Mobile ,India 
41,4,2025-03-03 01:00:00,logout,web,UK
42,4,2025-03-03 22:00:00,APPLY,Mobile ,
43,4,2025-03-04 12:00:00,login, WEB,India
44,4,2025-03-05 19:00:00,login,mobile,US
45,4,2025-03-06 20:00:00,login,,UK
46,4,2025-03-07 21:00:00,apply,web,US
47,4,2025-03-08 07:00:00,login,mobile,US
48,4,2025-03-10 00:00:00,logout, WEB, US
49,4,2025-03-10 14:00:00,login, WEB, US
50,4,2025-03-10 21:00:00,job_view, WEB,
51,4,2025-03-10 23:00:00,LOGIN,mobile,India 
52,4,2025-03-11 12:00:00,logout,web,US
53,4,2025-03-11 23:00:00,job_view,web,India
54,4,2025-03-13 11:00:00,job_view,web,India
55,4,2025-03-14 05:00:00,job_view,,US
56,4,2025-03-15 04:00:00,job_view,Mobile , US
57,4,2025-03-16 10:00:00,apply, WEB,
58,4,2025-03-17 20:00:00,login, WEB,UK
59,4,2025-03-19 18:00:00,login,,
60,4,2025-03-20 05:00:00,LOGIN, WEB,
61,4,2025-03-20 16:00:00,job_view,,India
62,4,2025-03-21 04:00:00,logout,,India
63,5,2025-02-20 00:00:00,SIGNUP, WEB, US
64,5,2025-02-20 12:00:00,apply,web, US
65,5,2025-02-21 15:00:00,job_view,Mobile ,
66,5,2025-02-22 21:00:00,LOGIN,Mobile , US
67,5,2025-02-23 22:00:00,job_view, WEB,India 
68,5,2025-02-24 20:00:00,login,, US
69,5,2025-02-26 00:00:00,job_view,web,
70,5,2025-02-27 14:00:00,job_view,mobile,UK
71,5,2025-02-28 02:00:00,job_view, WEB,US
72,5,2025-02-28 15:00:00,APPLY,web,UK
73,5,2025-03-02 04:00:00,apply, WEB,
74,5,2025-03-03 13:00:00,job_view,Mobile ,India 
75,5,2025-03-04 02:00:00,login,web,
76,5,2025-03-05 18:00:00,job_view, WEB,
77,5,2025-03-07 08:00:00,LOGIN,mobile,US
78,5,2025-03-07 19:00:00,apply,Mobile ,India 
79,5,2025-03-09 02:00:00,APPLY, WEB,India
80,5,2025-03-09 11:00:00,login,web,
81,5,2025-03-11 06:00:00,LOGOUT,, US
82,5,2025-03-11 09:00:00,apply,web,India
83,5,2025-03-12 21:00:00,apply,Mobile ,India 
84,5,2025-03-12 23:00:00,login,web,UK
85,5,2025-03-13 12:00:00,job_view,Mobile ,India
86,5,2025-03-15 02:00:00,job_view,,India 
87,6,2025-01-18 00:00:00,signup,mobile,
88,6,2025-01-19 00:00:00,login,Mobile ,India 
89,6,2025-01-20 00:00:00,login,Mobile ,India
90,6,2025-01-21 06:00:00,login,Mobile ,
91,6,2025-01-22 03:00:00,apply, WEB,
92,6,2025-01-22 20:00:00,LOGIN, WEB,
93,6,2025-01-23 23:00:00,apply,web,India 
94,6,2025-01-24 12:00:00,login,mobile,India 
95,6,2025-01-25 10:00:00,JOB_VIEW,,India
96,6,,login,,UK
